"customer_email","currency","product","status","shipping_method","payment","refund","created_at","updated_at"
"Ethan.Swanson@the1umastory.com","USD","sku=MH03-L-Blue,qty=4;sku=MH13-M-Blue,qty=3;sku=MH05-M-Red,qty=3;sku=MH04-XL-Yellow,qty=2;sku=MH01-M-Orange,qty=3","complete","flatrate_flatrate","checkmo","no","2016-09-30 02:51:44","2016-09-30 02:51:44"
"Stephen.Williamson@the1umastory.com","USD","sku=MH06-XS-Black,qty=4;sku=MH07-L-Gray,qty=2","complete","flatrate_flatrate","checkmo","no","2016-09-09 04:23:20","2016-09-09 04:23:20"
"Stephen.Williamson@the1umastory.com","USD","sku=MH06-L-Blue,qty=1;sku=MH13-S-Green,qty=1;sku=MH04-S-White,qty=1","complete","flatrate_flatrate","checkmo","no","2016-03-07 08:04:24","2016-03-07 08:04:24"
"Willie.Norris@thelumastory.com","USD","sku=MH05-XS-Green,qty=3;sku=MH10-XS-Red,qty=3;sku=MH02-L-Purple,qty=1;sku=MH03-M-Black,qty=2;sku=MH01-XL-Black,qty=3","complete","flatrate_flatrate","checkmo","no","2016-03-23 10:24:05","2016-03-23 10:24:05"
"Mario.Murray@the1umastory.com","USD","sku=MH03-XL-Black,qty=3;sku=MH12-L-Green,qty=4;sku=MH09-L-Red,qty=2","complete","flatrate_flatrate","checkmo","no","2016-07-08 11:48:36","2016-07-08 11:48:36"
"Teresa.Nunez@the1umastory.com","USD","sku=MH03-XL-Green,qty=4;sku=MH04-XL-Yellow,qty=2;sku=MH09-XL-Red,qty=2","complete","flatrate_flatrate","checkmo","no","2016-07-30 18:36:38","2016-07-30 18:36:38"
"Tillie.Armstrong@thelumastory.com","USD","sku=MH02-L-Purple,qty=1;sku=MH04-XL-White,qty=4","complete","flatrate_flatrate","checkmo","no","2016-04-11 00:53:02","2016-04-11 00:53:02"
"Connor.Beck@the1umastory.com","USD","sku=MH05-XS-Green,qty=4;sku=MH09-XL-Green,qty=1;sku=MH09-M-Red,qty=1;sku=MH12-M-Red,qty=4","complete","flatrate_flatrate","checkmo","no","2016-08-25 21:46:53","2016-08-25 21:46:53"
"Ethan.Swanson@the1umastory.com","USD","sku=MH06-L-Blue,qty=2;sku=MH13-S-Green,qty=4;sku=MH04-M-White,qty=3","complete","flatrate_flatrate","checkmo","no","2016-09-13 02:33:34","2016-09-13 02:33:34"
"Ricky.Schneider@the1umastory.com","USD","sku=MH09-XL-Green,qty=2;sku=MH12-S-Blue,qty=1;sku=MH07-L-Black,qty=3;sku=MH12-S-Green,qty=4","complete","flatrate_flatrate","checkmo","no","2016-09-05 18:51:44","2016-09-05 18:51:44"
"Norman.Steele@thelumastory.com","USD","sku=MH04-M-Yellow,qty=3;sku=MH11-M-Orange,qty=2;sku=MH13-M-Green,qty=4;sku=MH03-L-Green,qty=3;sku=MH09-S-Red,qty=2","complete","flatrate_flatrate","checkmo","no","2016-03-10 17:13:16","2016-03-10 17:13:16"
"Adeline.Vega@the1umastory.com","USD","sku=MH12-L-Red,qty=3;sku=MH09-XL-Green,qty=2","complete","flatrate_flatrate","checkmo","no","2016-01-08 05:43:51","2016-01-08 05:43:51"
"Adeline.Vega@the1umastory.com","USD","sku=MH12-M-Red,qty=2;sku=MH12-XS-Green,qty=3;sku=MH12-S-Green,qty=3;sku=MH13-S-Blue,qty=1","complete","flatrate_flatrate","checkmo","no","2016-09-24 13:32:33","2016-09-24 13:32:33"
"Mario.Murray@the1umastory.com","USD","sku=MH09-L-Red,qty=3;sku=MH07-L-Green,qty=2;sku=MH07-M-Black,qty=3;sku=MH05-XL-Red,qty=3","complete","flatrate_flatrate","checkmo","no","2016-09-23 21:01:19","2016-09-23 21:01:19"
"Arthur.Jacobs@thelumastory.com","USD","sku=MH02-XL-Black,qty=2;sku=MH07-L-Green,qty=2;sku=MH11-XS-White,qty=3","complete","flatrate_flatrate","checkmo","no","2016-07-16 20:45:59","2016-07-16 20:45:59"
"Jonathan.Bailey@thelumastory.com","USD","sku=MH06-XL-Blue,qty=3;sku=MH06-XS-Blue,qty=2","complete","flatrate_flatrate","checkmo","no","2016-08-15 10:21:42","2016-08-15 10:21:42"
"Sam.Carpenter@the1umastory.com","USD","sku=MH03-L-Black,qty=2;sku=MH06-S-Blue,qty=3","complete","flatrate_flatrate","checkmo","no","2016-05-25 13:48:59","2016-05-25 13:48:59"
"Bess.Armstrong@the1umastory.com","USD","sku=MH10-L-Black,qty=2;sku=MH02-XL-Red,qty=1;sku=MH12-S-Blue,qty=4;sku=MH13-XS-Lavender,qty=3;sku=MH08-XL-Purple,qty=4","complete","flatrate_flatrate","checkmo","no","2016-06-24 16:14:45","2016-06-24 16:14:45"
"Dennis.Pierce@thelumastory.com","USD","sku=MH02-S-Red,qty=4;sku=MH09-S-Green,qty=2;sku=MH10-XL-Blue,qty=2","complete","flatrate_flatrate","checkmo","no","2016-04-18 09:37:26","2016-04-18 09:37:26"
"Teresa.Nunez@the1umastory.com","USD","sku=MH06-L-Black,qty=4;sku=MH10-L-Black,qty=2;sku=MH11-S-Red,qty=3","complete","flatrate_flatrate","checkmo","no","2016-09-12 09:38:34","2016-09-12 09:38:34"
"Cecelia.Ortiz@thelumastory.com","USD","sku=MH09-S-Green,qty=4;sku=MH08-S-Purple,qty=1;sku=MH10-M-Blue,qty=1;sku=MH07-L-Black,qty=2","complete","flatrate_flatrate","checkmo","no","2016-07-09 16:20:26","2016-07-09 16:20:26"
"Mary.Richardson@the1umastory.com","USD","sku=MH04-L-White,qty=2;sku=MH11-XL-Red,qty=1;sku=MH05-L-Green,qty=2","complete","flatrate_flatrate","checkmo","no","2016-08-08 13:31:28","2016-08-08 13:31:28"
"Philip.Murray@the1umastory.com","USD","sku=MH07,qty=1;sku=MH11-S-White,qty=2;sku=MH01,qty=2;sku=MH09-XL-Blue,qty=1;sku=MH13-XS-Blue,qty=4","complete","flatrate_flatrate","checkmo","no","2016-09-30 10:04:19","2016-09-30 10:04:19"
"Anne.Patterson@thelumastory.com","USD","sku=MH09-M-Blue,qty=2;sku=MH06-XL-Purple,qty=4;sku=MH11-S-Orange,qty=2;sku=MH04-S-White,qty=1","complete","flatrate_flatrate","checkmo","no","2016-09-04 04:06:15","2016-09-04 04:06:15"
"Ida.Roy@the1umastory.com","USD","sku=MH13-S-Blue,qty=3;sku=MH06,qty=2;sku=MH02-M-Purple,qty=3;sku=MH06-L-Purple,qty=4","complete","flatrate_flatrate","checkmo","no","2016-05-28 22:44:03","2016-05-28 22:44:03"
"Winifred.Franklin@thelumastory.com","USD","sku=MH02-XL-Black,qty=1;sku=MH09-XL-Red,qty=3;sku=MH01-L-Black,qty=1;sku=MH01-S-Gray,qty=4;sku=MH05,qty=1","complete","flatrate_flatrate","checkmo","no","2016-08-21 12:18:08","2016-08-21 12:18:08"
"Eugenia.Morales@the1umastory.com","USD","sku=MH08-XL-Purple,qty=4;sku=MH01-XL-Orange,qty=4;sku=MH04-L-Green,qty=4;sku=MH11-XS-Red,qty=2","complete","flatrate_flatrate","checkmo","no","2016-01-21 13:23:05","2016-01-21 13:23:05"
"Jordan.Blair@the1umastory.com","USD","sku=MH06-XL-Purple,qty=2;sku=MH08-L-Purple,qty=4;sku=MH07-M-Black,qty=4;sku=MH06-XL-Black,qty=4;sku=MH01-M-Black,qty=2","complete","flatrate_flatrate","checkmo","no","2016-09-11 15:34:34","2016-09-11 15:34:34"
"Sam.Carpenter@the1umastory.com","USD","sku=MH01,qty=3;sku=MH09-M-Blue,qty=3","complete","flatrate_flatrate","checkmo","no","2016-09-12 08:03:05","2016-09-12 08:03:05"
"John.Colon@the1umastory.com","USD","sku=MH12-XS-Red,qty=4;sku=MH10-L-Blue,qty=3;sku=MH03-XS-Black,qty=1;sku=MH01-S-Black,qty=1;sku=MH09-XL-Red,qty=2","complete","flatrate_flatrate","checkmo","no","2016-08-07 20:53:55","2016-08-07 20:53:55"
"Eugenia.Morales@the1umastory.com","USD","sku=MH03-S-Black,qty=1;sku=MH10-L-Red,qty=1;sku=MH01-L-Gray,qty=3;sku=MH10-L-Red,qty=4;sku=MH03-XL-Black,qty=3","complete","flatrate_flatrate","checkmo","no","2016-05-29 03:45:28","2016-05-29 03:45:28"
"Lenora.Benson@the1umastory.com","USD","sku=MH12-XL-Red,qty=4;sku=MH01-S-Black,qty=2","complete","flatrate_flatrate","checkmo","no","2016-09-19 14:26:29","2016-09-19 14:26:29"
"Mary.Richardson@the1umastory.com","USD","sku=MH09-XL-Red,qty=1;sku=MH01-L-Orange,qty=2;sku=MH01-L-Gray,qty=4","complete","flatrate_flatrate","checkmo","no","2016-09-03 00:17:25","2016-09-03 00:17:25"
"Arthur.Jacobs@thelumastory.com","USD","sku=MH04-XS-White,qty=1;sku=MH05-S-Red,qty=4;sku=MH09-XS-Blue,qty=3;sku=MH02-L-Black,qty=2","complete","flatrate_flatrate","checkmo","no","2016-02-17 12:01:07","2016-02-17 12:01:07"
"Jared.Wolfe@thelumastory.com","USD","sku=MH09-M-Blue,qty=4;sku=MH03-L-Green,qty=3;sku=MH03-M-Black,qty=4","complete","flatrate_flatrate","checkmo","no","2016-03-26 20:06:20","2016-03-26 20:06:20"
"Jared.Wolfe@thelumastory.com","USD","sku=MH06-XS-Black,qty=1;sku=MH03-S-Green,qty=2;sku=MH01-M-Black,qty=4;sku=MH12-L-Blue,qty=2","complete","flatrate_flatrate","checkmo","no","2016-04-19 04:22:29","2016-04-19 04:22:29"
"Jason.Farmer@the1umastory.com","USD","sku=MH04-S-Yellow,qty=2;sku=MH09-M-Red,qty=3;sku=MH06-XS-Black,qty=3;sku=MH03-M-Black,qty=4","complete","flatrate_flatrate","checkmo","no","2016-07-16 17:33:10","2016-07-16 17:33:10"
"Flora.Wong@thelumastory.com","USD","sku=MH09-XS-Green,qty=2;sku=MH03-M-Green,qty=4;sku=MH07-S-Green,qty=4","complete","flatrate_flatrate","checkmo","no","2016-09-06 08:19:15","2016-09-06 08:19:15"
"Owen.Harrison@the1umastory.com","USD","sku=MH09-XS-Red,qty=3;sku=MH10-L-Blue,qty=2;sku=MH02-XL-Black,qty=1;sku=MH06-XL-Purple,qty=1;sku=MH01-XL-Black,qty=1","complete","flatrate_flatrate","checkmo","no","2016-08-06 14:30:58","2016-08-06 14:30:58"
"Lillie.Stokes@thelumastory.com","USD","sku=MH03-XL-Blue,qty=2;sku=MH08-XS-Red,qty=1;sku=MH09-L-Green,qty=3","complete","flatrate_flatrate","checkmo","no","2016-09-11 16:16:40","2016-09-11 16:16:40"
"Mario.Murray@the1umastory.com","USD","sku=MH03-L-Black,qty=2;sku=MH08-S-Red,qty=1;sku=MH11-M-Orange,qty=1;sku=MH08-M-Red,qty=1","complete","flatrate_flatrate","checkmo","no","2016-09-11 19:30:39","2016-09-11 19:30:39"
"Ricky.Schneider@the1umastory.com","USD","sku=MH11-XL-Orange,qty=2;sku=MH11-S-Orange,qty=4;sku=MH07-M-Gray,qty=3","complete","flatrate_flatrate","checkmo","no","2016-09-25 14:20:34","2016-09-25 14:20:34"
"Catherine.Bell@thelumastory.com","USD","sku=MH01-XS-Orange,qty=2;sku=MH03-XL-Green,qty=4","complete","flatrate_flatrate","checkmo","no","2016-02-08 05:05:57","2016-02-08 05:05:57"
"Margaret.Park@the1umastory.com","USD","sku=MH08,qty=4;sku=MH12-S-Blue,qty=4;sku=MH02-XS-Black,qty=1","complete","flatrate_flatrate","checkmo","no","2016-08-22 01:06:52","2016-08-22 01:06:52"
"Jonathan.Bailey@thelumastory.com","USD","sku=MH08-S-Purple,qty=2;sku=MH04-M-Yellow,qty=1","complete","flatrate_flatrate","checkmo","no","2016-04-17 06:25:39","2016-04-17 06:25:39"
"Bess.Armstrong@the1umastory.com","USD","sku=MH08-XS-Brown,qty=3;sku=MH08-L-Brown,qty=2;sku=MH06-S-Black,qty=4;sku=MH08-XL-Brown,qty=1","complete","flatrate_flatrate","checkmo","no","2016-06-06 22:05:08","2016-06-06 22:05:08"
"Lura.Taylor@the1umastory.com","USD","sku=MH02-L-Red,qty=2;sku=MH03-M-Black,qty=4;sku=MH03-M-Blue,qty=3","complete","flatrate_flatrate","checkmo","no","2016-09-03 08:51:59","2016-09-03 08:51:59"
"Ricky.Schneider@the1umastory.com","USD","sku=MH10-M-Black,qty=2;sku=MH02-XL-Purple,qty=4","complete","flatrate_flatrate","checkmo","no","2016-09-08 13:30:26","2016-09-08 13:30:26"
"Jackson.Franklin@the1umastory.com","USD","sku=MH09-M-Green,qty=1;sku=MH02-M-Red,qty=1","complete","flatrate_flatrate","checkmo","no","2016-04-01 14:55:45","2016-04-01 14:55:45"
"Sam.George@the1umastory.com","USD","sku=MH13-S-Green,qty=2;sku=MH05-L-White,qty=3","complete","flatrate_flatrate","checkmo","no","2016-06-20 16:47:54","2016-06-20 16:47:54"
"Cecelia.Ortiz@thelumastory.com","USD","sku=MH08-L-Purple,qty=2;sku=MH12-L-Blue,qty=4;sku=MH10-M-Blue,qty=4;sku=MH04-XL-White,qty=2","complete","flatrate_flatrate","checkmo","no","2016-01-10 21:42:36","2016-01-10 21:42:36"
"Brandon.Edwards@thelumastory.com","USD","sku=MH04-S-Yellow,qty=2;sku=MH09-XS-Red,qty=1","complete","flatrate_flatrate","checkmo","no","2016-09-01 05:58:05","2016-09-01 05:58:05"
"Frances.Elliott@thelumastory.com","USD","sku=MH01-M-Black,qty=2;sku=MH06-XL-Black,qty=3;sku=MH03-XL-Black,qty=3;sku=MH01-S-Gray,qty=2;sku=MH09-S-Blue,qty=1","complete","flatrate_flatrate","checkmo","no","2016-04-12 07:39:34","2016-04-12 07:39:34"
"Flora.Wong@thelumastory.com","USD","sku=MH01-M-Gray,qty=3;sku=MH05-XL-Green,qty=2;sku=MH11-S-Orange,qty=4;sku=MH06-XS-Blue,qty=4;sku=MH05-M-Green,qty=4","complete","flatrate_flatrate","checkmo","no","2016-06-21 18:23:58","2016-06-21 18:23:58"
"Anne.Patterson@thelumastory.com","USD","sku=MH12-XL-Red,qty=4;sku=MH09-XL-Blue,qty=4;sku=MH06-S-Black,qty=4;sku=MH09-M-Green,qty=4","complete","flatrate_flatrate","checkmo","no","2016-07-17 06:51:08","2016-07-17 06:51:08"
"Millie.Murray@thelumastory.com","USD","sku=MH06-XL-Purple,qty=1;sku=MH06-M-Blue,qty=2","complete","flatrate_flatrate","checkmo","no","2016-09-08 15:18:42","2016-09-08 15:18:42"
"Connor.Beck@the1umastory.com","USD","sku=MH10-L-Blue,qty=2;sku=MH01-S-Black,qty=3;sku=MH11-L-White,qty=2;sku=MH07-M-Black,qty=4;sku=MH04-L-Green,qty=2","complete","flatrate_flatrate","checkmo","no","2016-02-28 20:33:05","2016-02-28 20:33:05"
"Winifred.Franklin@thelumastory.com","USD","sku=MH01-XL-Gray,qty=1;sku=MH01-L-Black,qty=1","complete","flatrate_flatrate","checkmo","no","2016-09-04 22:41:59","2016-09-04 22:41:59"
"Lela.Schultz@the1umastory.com","USD","sku=MH06-XS-Purple,qty=4;sku=MH02-XS-Red,qty=3;sku=MH04-XL-Yellow,qty=4;sku=MH08-M-Red,qty=2;sku=MH11-M-Red,qty=2","complete","flatrate_flatrate","checkmo","no","2016-04-06 05:03:08","2016-04-06 05:03:08"
"Carl.McGee@thelumastory.com","USD","sku=MH02-S-Black,qty=1;sku=MH07-XS-Gray,qty=1;sku=MH04-L-White,qty=4","complete","flatrate_flatrate","checkmo","no","2016-06-27 08:43:15","2016-06-27 08:43:15"
"Pauline.Snyder@thelumastory.com","USD","sku=MH12-M-Blue,qty=3;sku=MH04-S-White,qty=3;sku=MH03-L-Green,qty=3;sku=MH08-XS-Red,qty=2","complete","flatrate_flatrate","checkmo","no","2016-02-11 05:22:38","2016-02-11 05:22:38"
"Garrett.Nunez@thelumastory.com","USD","sku=MH12-XL-Red,qty=2;sku=MH06-M-Blue,qty=1;sku=MH10-L-Black,qty=4;sku=MH06-XL-Blue,qty=1;sku=MH01-L-Gray,qty=3","complete","flatrate_flatrate","checkmo","no","2016-07-02 12:35:22","2016-07-02 12:35:22"
"Frances.Elliott@thelumastory.com","USD","sku=MH02-XS-Purple,qty=1;sku=MH08-L-Brown,qty=2;sku=MH07-M-Gray,qty=3","complete","flatrate_flatrate","checkmo","no","2016-10-01 19:23:56","2016-10-01 19:23:56"
"Hilda.Reeves@thelumastory.com","USD","sku=MH01-S-Gray,qty=4;sku=MH04-M-White,qty=1;sku=MH08-XL-Red,qty=4;sku=MH08-L-Purple,qty=4;sku=MH09-XL-Red,qty=3","complete","flatrate_flatrate","checkmo","no","2016-07-28 09:13:47","2016-07-28 09:13:47"
"Pauline.Snyder@thelumastory.com","USD","sku=MH03-M-Black,qty=2;sku=MH06-L-Purple,qty=2","complete","flatrate_flatrate","checkmo","no","2016-07-07 17:29:32","2016-07-07 17:29:32"
"Jesse.Wilkerson@the1umastory.com","USD","sku=MH06-XS-Blue,qty=2;sku=MH01-S-Black,qty=4","complete","flatrate_flatrate","checkmo","no","2016-03-16 19:32:36","2016-03-16 19:32:36"
"Frances.Elliott@thelumastory.com","USD","sku=MH08-S-Brown,qty=1;sku=MH06-L-Blue,qty=4;sku=MH01-M-Gray,qty=2;sku=MH06,qty=2;sku=MH10-L-Red,qty=2","complete","flatrate_flatrate","checkmo","no","2016-09-24 12:25:49","2016-09-24 12:25:49"
"Lenora.Benson@the1umastory.com","USD","sku=MH07-L-Black,qty=3;sku=MH02-XL-Black,qty=1;sku=MH01-M-Gray,qty=3;sku=MH13-S-Green,qty=2","complete","flatrate_flatrate","checkmo","no","2015-12-24 07:21:54","2015-12-24 07:21:54"
"Adele.Padilla@the1umastory.com","USD","sku=MH05-L-Red,qty=2;sku=MH12-S-Blue,qty=2","complete","flatrate_flatrate","checkmo","no","2016-01-10 16:02:25","2016-01-10 16:02:25"
"Ida.Roy@the1umastory.com","USD","sku=MH07-M-Black,qty=1;sku=MH09-L-Green,qty=4;sku=MH04-M-Yellow,qty=3;sku=MH09-S-Blue,qty=4;sku=MH03-XL-Black,qty=2","complete","flatrate_flatrate","checkmo","no","2015-10-27 12:09:52","2015-10-27 12:09:52"
"Sam.Carpenter@the1umastory.com","USD","sku=MH09,qty=3;sku=MH09-L-Red,qty=4;sku=MH10-L-Blue,qty=2","complete","flatrate_flatrate","checkmo","no","2016-07-01 20:53:17","2016-07-01 20:53:17"
"Warren.Adkins@the1umastory.com","USD","sku=MH04-XS-White,qty=2;sku=MH13-M-Blue,qty=2","complete","flatrate_flatrate","checkmo","no","2016-09-10 14:06:36","2016-09-10 14:06:36"
"Gregory.Simpson@thelumastory.com","USD","sku=MH02-M-Red,qty=3;sku=MH01-XL-Gray,qty=1;sku=MH08-M-Brown,qty=2;sku=MH12-XS-Red,qty=4","complete","flatrate_flatrate","checkmo","no","2016-08-26 03:25:18","2016-08-26 03:25:18"
"Lenora.Benson@the1umastory.com","USD","sku=MH01-XS-Black,qty=3;sku=MH09-XL-Green,qty=2;sku=MH11-M-White,qty=2;sku=MH04-L-White,qty=4;sku=MH10-S-Blue,qty=3","complete","flatrate_flatrate","checkmo","no","2016-07-15 04:25:00","2016-07-15 04:25:00"
"Dale.Fletcher@thelumastory.com","USD","sku=MH05-L-Green,qty=1;sku=MH05-XL-Green,qty=4;sku=MH01-M-Orange,qty=4;sku=MH06-M-Blue,qty=1","complete","flatrate_flatrate","checkmo","no","2016-06-21 18:48:58","2016-06-21 18:48:58"
"Blanche.Parks@thelumastory.com","USD","sku=MH08-XL-Purple,qty=4;sku=MH11-S-White,qty=1;sku=MH04-XL-White,qty=1","complete","flatrate_flatrate","checkmo","no","2016-02-28 09:32:53","2016-02-28 09:32:53"
"Verna.Norris@thelumastory.com","USD","sku=MH11-XL-White,qty=2;sku=MH04,qty=2;sku=MH12-M-Green,qty=4;sku=MH10-L-Blue,qty=2","complete","flatrate_flatrate","checkmo","no","2016-07-10 02:56:23","2016-07-10 02:56:23"
"Mayme.Porter@the1umastory.com","USD","sku=MH01-L-Orange,qty=4;sku=MH03-S-Blue,qty=1;sku=MH06-S-Purple,qty=4","complete","flatrate_flatrate","checkmo","no","2016-05-03 03:45:11","2016-05-03 03:45:11"
"Philip.Murray@the1umastory.com","USD","sku=MH03-S-Black,qty=2;sku=MH04-S-Green,qty=3;sku=MH09-S-Green,qty=1;sku=MH03-S-Green,qty=3","complete","flatrate_flatrate","checkmo","no","2016-06-06 14:36:36","2016-06-06 14:36:36"
"Julia.Rodriquez@the1umastory.com","USD","sku=MH06-XL-Purple,qty=3;sku=MH01-M-Gray,qty=1","complete","flatrate_flatrate","checkmo","no","2016-06-16 08:43:22","2016-06-16 08:43:22"
"Adeline.Vega@the1umastory.com","USD","sku=MH09-M-Red,qty=4;sku=MH01-XL-Gray,qty=2;sku=MH01-S-Orange,qty=3;sku=MH12-XS-Green,qty=1;sku=MH03-XL-Black,qty=1","complete","flatrate_flatrate","checkmo","no","2016-09-13 02:51:16","2016-09-13 02:51:16"
"Brandon.Edwards@thelumastory.com","USD","sku=MH12-S-Blue,qty=2;sku=MH02-L-Black,qty=2","complete","flatrate_flatrate","checkmo","no","2016-08-10 19:04:34","2016-08-10 19:04:34"
"Zachary.Hunter@thelumastory.com","USD","sku=MH11-XL-Orange,qty=3;sku=MH07-S-Black,qty=2;sku=MH02-S-Black,qty=1","complete","flatrate_flatrate","checkmo","no","2016-08-26 16:09:23","2016-08-26 16:09:23"
"Ophelia.Myers@thelumastory.com","USD","sku=MH03-M-Black,qty=4;sku=MH01-XS-Orange,qty=1;sku=MH04,qty=1","complete","flatrate_flatrate","checkmo","no","2016-02-23 03:45:14","2016-02-23 03:45:14"
"Cecelia.Ortiz@thelumastory.com","USD","sku=MH01-L-Black,qty=3;sku=MH12-L-Red,qty=3;sku=MH04,qty=2;sku=MH03-S-Green,qty=2","complete","flatrate_flatrate","checkmo","no","2016-07-26 05:13:33","2016-07-26 05:13:33"
"Jeanette.Barrett@thelumastory.com","USD","sku=MH10-M-Black,qty=4;sku=MH04-S-Green,qty=3;sku=MH08,qty=1;sku=MH09-L-Blue,qty=3;sku=MH09-S-Red,qty=1","complete","flatrate_flatrate","checkmo","no","2016-07-14 20:49:34","2016-07-14 20:49:34"
"Adeline.Vega@the1umastory.com","USD","sku=MH06-M-Purple,qty=4;sku=MH06-S-Black,qty=2;sku=MH13-S-Blue,qty=1;sku=MH03-XS-Green,qty=3","complete","flatrate_flatrate","checkmo","no","2016-04-06 17:10:15","2016-04-06 17:10:15"
"Teresa.Nunez@the1umastory.com","USD","sku=MH09,qty=1;sku=MH06-L-Blue,qty=2;sku=MH01-M-Gray,qty=2;sku=MH06-L-Purple,qty=4;sku=MH06-L-Purple,qty=3","complete","flatrate_flatrate","checkmo","no","2016-08-04 19:29:48","2016-08-04 19:29:48"
"Julia.Rodriquez@the1umastory.com","USD","sku=MH02,qty=1;sku=MH03,qty=1","complete","flatrate_flatrate","checkmo","no","2016-10-01 23:16:57","2016-10-01 23:16:57"
"Joseph.Reed@thelumastory.com","USD","sku=MH09-L-Green,qty=4;sku=MH10-XL-Blue,qty=1;sku=MH11-L-Red,qty=1","complete","flatrate_flatrate","checkmo","no","2016-07-25 23:27:11","2016-07-25 23:27:11"
"Mary.Richardson@the1umastory.com","USD","sku=MH09-S-Green,qty=4;sku=MH10-XS-Blue,qty=3;sku=MH03-M-Blue,qty=1","complete","flatrate_flatrate","checkmo","no","2016-05-17 11:15:31","2016-05-17 11:15:31"
"Cory.Fields@the1umastory.com","USD","sku=MH05-XS-White,qty=4;sku=MH10-XS-Red,qty=1","complete","flatrate_flatrate","checkmo","no","2016-04-03 06:06:19","2016-04-03 06:06:19"
"Zachary.Hunter@thelumastory.com","USD","sku=MH11-S-Orange,qty=4;sku=MH07-M-Black,qty=1;sku=MH01-L-Gray,qty=2;sku=MH11-XS-Orange,qty=3","complete","flatrate_flatrate","checkmo","no","2016-09-19 06:31:12","2016-09-19 06:31:12"
"Ricky.Schneider@the1umastory.com","USD","sku=MH02-S-Red,qty=1;sku=MH11-XL-Red,qty=2;sku=MH04-M-Yellow,qty=4","complete","flatrate_flatrate","checkmo","no","2016-05-11 11:55:51","2016-05-11 11:55:51"
"Jared.Wolfe@thelumastory.com","USD","sku=MH08-XL-Purple,qty=1;sku=MH06-L-Black,qty=4;sku=MH07-XL-Black,qty=1","complete","flatrate_flatrate","checkmo","no","2016-08-16 16:33:45","2016-08-16 16:33:45"
"Eugenia.Morales@the1umastory.com","USD","sku=MH08-XS-Red,qty=2;sku=MH09-L-Green,qty=3;sku=MH05-S-Green,qty=2;sku=MH10-L-Red,qty=3","complete","flatrate_flatrate","checkmo","no","2016-10-02 06:59:53","2016-10-02 06:59:53"
