_website,created_in,email,firstname,lastname,_address_firstname,_address_lastname,street,city,telephone,region,postcode,country_id,_address_default_billing_,_address_default_shipping_,group_id,created_at,updated_at
base,Default Store View,Craig.Tate@thelumastory.com,Craig,Tate,Craig,Tate,832 Cifril Ridge,Ugvuhul,555-555-5555,LA,2941,US,1,1,1,2/22/16 2:52,2/22/16 2:52
base,Default Store View,Glenn.West@thelumastory.com,Glenn,West,Glenn,West,714 Uteul Way,Virapvo,555-555-5555,HI,68393,US,1,1,3,2/23/16 2:53,2/23/16 2:53
base,Default Store View,Elva.Nichols@thelumastory.com,Elva,Nichols,Elva,Nichols,955 Miok Manor,Acvukic,555-555-5555,RI,33393,US,1,1,1,2/26/16 11:42,2/26/16 11:42
base,Default Store View,Bettie.Schneider@thelumastory.com,Bettie,Schneider,Bettie,Schneider,1304 Racrog River,Osjipes,555-555-5555,OH,22489,US,1,1,1,2/29/16 11:05,2/29/16 11:05
base,Default Store View,Thomas.Mann@thelumastory.com,Thomas,Mann,Thomas,Mann,100 Zajpum Loop,Bajelo,555-555-5555,SD,79082,US,1,1,3,2/29/16 14:05,2/29/16 14:05
base,Default Store View,Kate.Atkins@thelumastory.com,Kate,Atkins,Kate,Atkins,880 Omutop Highway,Efigudvel,555-555-5555,OR,15174,US,1,1,1,3/5/16 6:56,3/5/16 6:56
base,Default Store View,Victor.Luna@thelumastory.com,Victor,Luna,Victor,Luna,1866 Mesa Boulevard,Pajoul,555-555-5555,FL,12337,US,1,1,1,3/6/16 9:19,3/6/16 9:19
base,Default Store View,Mamie.Lyons@thelumastory.com,Mamie,Lyons,Mamie,Lyons,396 Gunup Mill,Vucvajow,555-555-5555,OR,63895,US,1,1,1,3/6/16 18:42,3/6/16 18:42
base,Default Store View,Alice.Benson@thelumastory.com,Alice,Benson,Alice,Benson,1525 Wobju Terrace,Icanegow,555-555-5555,CO,73364,US,1,1,3,3/12/16 2:09,3/12/16 2:09
base,Default Store View,Michael.Lewis@thelumastory.com,Michael,Lewis,Michael,Lewis,1746 Remhe Grove,Jowikrah,555-555-5555,TN,31272,US,1,1,1,3/14/16 1:14,3/14/16 1:14
base,Default Store View,Harold.Jefferson@thelumastory.com,Harold,Jefferson,Harold,Jefferson,1859 Covej Square,Zabzuapa,555-555-5555,FL,59396,US,1,1,3,3/15/16 14:45,3/15/16 14:45
base,Default Store View,Francis.Townsend@thelumastory.com,Francis,Townsend,Francis,Townsend,1631 Fowaf Highway,Bucapezu,555-555-5555,TX,72520,US,1,1,3,3/19/16 14:49,3/19/16 14:49
base,Default Store View,Victor.Dixon@thelumastory.com,Victor,Dixon,Victor,Dixon,1874 Kube Street,Gamogoz,555-555-5555,IA,29218,US,1,1,2,3/19/16 21:39,3/19/16 21:39
base,Default Store View,Kate.Newman@thelumastory.com,Kate,Newman,Kate,Newman,262 Ineraj Ridge,Utajiec,555-555-5555,MT,55603,US,1,1,2,3/20/16 7:26,3/20/16 7:26
base,Default Store View,Manuel.Becker@thelumastory.com,Manuel,Becker,Manuel,Becker,1054 Totzun Plaza,Ucenarja,555-555-5555,UT,85709,US,1,1,3,3/20/16 8:00,3/20/16 8:00
base,Default Store View,Gary.Murphy@thelumastory.com,Gary,Murphy,Gary,Murphy,411 Pehisu River,Kawerhar,555-555-5555,IN,62973,US,1,1,1,3/25/16 13:28,3/25/16 13:28
base,Default Store View,Minnie.Tran@thelumastory.com,Minnie,Tran,Minnie,Tran,1607 Zugpa River,Jektotaj,555-555-5555,KY,91370,US,1,1,2,3/26/16 6:15,3/26/16 6:15
base,Default Store View,Stephen.Griffith@thelumastory.com,Stephen,Griffith,Stephen,Griffith,845 Dubep Mill,Vavmahac,555-555-5555,MI,69290,US,1,1,3,3/26/16 23:29,3/26/16 23:29
base,Default Store View,Danny.Singleton@thelumastory.com,Danny,Singleton,Danny,Singleton,1988 Necu Circle,Gikelij,555-555-5555,DC,84143,US,1,1,1,3/28/16 8:52,3/28/16 8:52
base,Default Store View,Angel.Gray@thelumastory.com,Angel,Gray,Angel,Gray,1727 Radip Mill,Ihhaju,555-555-5555,ND,17087,US,1,1,3,3/28/16 9:03,3/28/16 9:03
base,Default Store View,Alfred.Moreno@thelumastory.com,Alfred,Moreno,Alfred,Moreno,841 Ogoobo Highway,Befwepina,555-555-5555,ID,45884,US,1,1,1,3/28/16 11:08,3/28/16 11:08
base,Default Store View,Lydia.Berry@thelumastory.com,Lydia,Berry,Lydia,Berry,185 Cokit Heights,Zafiktuc,555-555-5555,AL,72384,US,1,1,1,3/28/16 13:50,3/28/16 13:50
base,Default Store View,Theresa.Hill@thelumastory.com,Theresa,Hill,Theresa,Hill,1919 Hupu Ridge,Damuben,555-555-5555,AZ,5082,US,1,1,1,3/29/16 12:27,3/29/16 12:27
base,Default Store View,Estella.Moran@thelumastory.com,Estella,Moran,Estella,Moran,1582 Hafi Turnpike,Ikaifmif,555-555-5555,PA,72000,US,1,1,3,4/5/16 11:04,4/5/16 11:04
base,Default Store View,Jim.Montgomery@thelumastory.com,Jim,Montgomery,Jim,Montgomery,728 Caucu Park,Nekjahuk,555-555-5555,NJ,10939,US,1,1,1,4/5/16 16:28,4/5/16 16:28
base,Default Store View,Dora.Brock@thelumastory.com,Dora,Brock,Dora,Brock,1489 Rioli Key,Juekerug,555-555-5555,AZ,35046,US,1,1,3,4/9/16 1:03,4/9/16 1:03
base,Default Store View,Georgie.Bowers@thelumastory.com,Georgie,Bowers,Georgie,Bowers,562 Befem Pass,Fiwufuk,555-555-5555,AR,98277,US,1,1,3,4/10/16 7:55,4/10/16 7:55
base,Default Store View,Shawn.Cook@thelumastory.com,Shawn,Cook,Shawn,Cook,678 Jakwos Point,Veivoka,555-555-5555,MA,6129,US,1,1,2,4/12/16 3:21,4/12/16 3:21
base,Default Store View,Hettie.Long@thelumastory.com,Hettie,Long,Hettie,Long,61 Bofuh Highway,Asfokmo,555-555-5555,DC,67957,US,1,1,2,4/13/16 6:28,4/13/16 6:28
base,Default Store View,Myra.Rodriquez@thelumastory.com,Myra,Rodriquez,Myra,Rodriquez,928 Wuwdov Center,Rodwaccuk,555-555-5555,MI,74932,US,1,1,3,4/15/16 17:03,4/15/16 17:03
base,Default Store View,Edgar.Summers@thelumastory.com,Edgar,Summers,Edgar,Summers,254 Uddi Boulevard,Wugoas,555-555-5555,GA,71681,US,1,1,2,4/16/16 6:30,4/16/16 6:30
base,Default Store View,Louis.Owens@thelumastory.com,Louis,Owens,Louis,Owens,1498 Cugez Manor,Juhmacas,555-555-5555,NJ,821,US,1,1,3,4/16/16 13:53,4/16/16 13:53
base,Default Store View,Joel.Hunt@thelumastory.com,Joel,Hunt,Joel,Hunt,667 Heza Heights,Veaseoz,555-555-5555,CA,85615,US,1,1,3,4/17/16 0:08,4/17/16 0:08
base,Default Store View,Frances.Valdez@thelumastory.com,Frances,Valdez,Frances,Valdez,1317 Neluw Mill,Figuha,555-555-5555,NH,17547,US,1,1,2,4/17/16 2:23,4/17/16 2:23
base,Default Store View,Eric.Jimenez@thelumastory.com,Eric,Jimenez,Eric,Jimenez,1658 Siwge Drive,Tahenir,555-555-5555,WV,79034,US,1,1,1,4/21/16 17:52,4/21/16 17:52
base,Default Store View,Patrick.Moore@thelumastory.com,Patrick,Moore,Patrick,Moore,920 Jivhel Avenue,Tozirpul,555-555-5555,IA,14495,US,1,1,3,4/23/16 4:58,4/23/16 4:58
base,Default Store View,Isaiah.Hawkins@thelumastory.com,Isaiah,Hawkins,Isaiah,Hawkins,416 Piesu Terrace,Laiwce,555-555-5555,ID,84170,US,1,1,2,4/23/16 16:16,4/23/16 16:16
base,Default Store View,Ian.Hammond@thelumastory.com,Ian,Hammond,Ian,Hammond,135 Itga Highway,Lowgozbeh,555-555-5555,MT,60822,US,1,1,1,4/25/16 0:14,4/25/16 0:14
base,Default Store View,Sally.Long@thelumastory.com,Sally,Long,Sally,Long,125 Mebow Grove,Ifkare,555-555-5555,LA,22598,US,1,1,1,4/25/16 5:26,4/25/16 5:26
base,Default Store View,Jayden.Goodman@thelumastory.com,Jayden,Goodman,Jayden,Goodman,159 Moavo River,Uvneat,555-555-5555,OH,2465,US,1,1,3,4/26/16 6:18,4/26/16 6:18
base,Default Store View,Samuel.Holt@thelumastory.com,Samuel,Holt,Samuel,Holt,264 Zuciv Park,Kivcizip,555-555-5555,MT,35706,US,1,1,2,4/26/16 7:14,4/26/16 7:14
base,Default Store View,Bryan.Fleming@thelumastory.com,Bryan,Fleming,Bryan,Fleming,1572 Rezela Parkway,Iwimekge,555-555-5555,AL,47520,US,1,1,2,4/26/16 8:20,4/26/16 8:20
base,Default Store View,Rosie.Powers@thelumastory.com,Rosie,Powers,Rosie,Powers,371 Asailo Road,Jiwosa,555-555-5555,CT,62375,US,1,1,1,4/26/16 17:24,4/26/16 17:24
base,Default Store View,Dorothy.Valdez@thelumastory.com,Dorothy,Valdez,Dorothy,Valdez,244 Mije Plaza,Oftaze,555-555-5555,SD,84220,US,1,1,2,4/26/16 20:33,4/26/16 20:33
base,Default Store View,Lizzie.Robertson@thelumastory.com,Lizzie,Robertson,Lizzie,Robertson,794 Mota Manor,Ehesala,555-555-5555,NE,24262,US,1,1,2,4/27/16 0:50,4/27/16 0:50
base,Default Store View,Callie.McCarthy@thelumastory.com,Callie,McCarthy,Callie,McCarthy,1344 Ruba Road,Ujtowej,555-555-5555,IA,53410,US,1,1,3,4/27/16 18:23,4/27/16 18:23
base,Default Store View,Hannah.Rice@thelumastory.com,Hannah,Rice,Hannah,Rice,1643 Emuis Highway,Limewul,555-555-5555,NH,33537,US,1,1,2,4/30/16 8:58,4/30/16 8:58
base,Default Store View,Ricardo.Dixon@thelumastory.com,Ricardo,Dixon,Ricardo,Dixon,1942 Uwji Manor,Bowfibaf,555-555-5555,SC,71902,US,1,1,3,4/30/16 20:50,4/30/16 20:50
base,Default Store View,Vera.Bass@thelumastory.com,Vera,Bass,Vera,Bass,874 Suwi Manor,Ocemalgit,555-555-5555,NC,30131,US,1,1,2,5/1/16 9:40,5/1/16 9:40
base,Default Store View,Mamie.Fox@thelumastory.com,Mamie,Fox,Mamie,Fox,611 Iwtu Path,Zucbisuz,555-555-5555,SC,78616,US,1,1,3,5/2/16 0:16,5/2/16 0:16
base,Default Store View,Corey.Klein@thelumastory.com,Corey,Klein,Corey,Klein,1983 Unmi Center,Suetguh,555-555-5555,MA,15238,US,1,1,2,5/2/16 13:01,5/2/16 13:01
base,Default Store View,Logan.Floyd@thelumastory.com,Logan,Floyd,Logan,Floyd,1859 Hudazo Place,Falkice,555-555-5555,NE,90285,US,1,1,3,5/3/16 7:58,5/3/16 7:58
base,Default Store View,Amanda.Jacobs@thelumastory.com,Amanda,Jacobs,Amanda,Jacobs,91 Areji Drive,Lubmahhu,555-555-5555,NH,82670,US,1,1,2,5/3/16 9:44,5/3/16 9:44
base,Default Store View,Larry.Holland@thelumastory.com,Larry,Holland,Larry,Holland,290 Neef Parkway,Tawijfe,555-555-5555,GA,60801,US,1,1,1,5/3/16 23:14,5/3/16 23:14
base,Default Store View,Jose.Sparks@thelumastory.com,Jose,Sparks,Jose,Sparks,907 Hivbi Road,Obilamaw,555-555-5555,MN,25,US,1,1,3,5/4/16 2:54,5/4/16 2:54
base,Default Store View,Virgie.Fields@thelumastory.com,Virgie,Fields,Virgie,Fields,188 Guwun Street,Miabapi,555-555-5555,WV,56198,US,1,1,2,5/4/16 11:38,5/4/16 11:38
base,Default Store View,Eva.Tran@thelumastory.com,Eva,Tran,Eva,Tran,1747 Raba Point,Hurafcal,555-555-5555,SC,29883,US,1,1,3,5/5/16 10:11,5/5/16 10:11
base,Default Store View,Phoebe.Bennett@thelumastory.com,Phoebe,Bennett,Phoebe,Bennett,491 Rikzop Trail,Lawcari,555-555-5555,MS,54860,US,1,1,2,5/7/16 22:03,5/7/16 22:03
base,Default Store View,Hunter.Houston@thelumastory.com,Hunter,Houston,Hunter,Houston,454 Rudbep Plaza,Usesinos,555-555-5555,NC,3008,US,1,1,3,5/9/16 10:23,5/9/16 10:23
base,Default Store View,Mike.Gilbert@thelumastory.com,Mike,Gilbert,Mike,Gilbert,1850 Gigzij Park,Beejafup,555-555-5555,WV,46459,US,1,1,3,5/12/16 1:38,5/12/16 1:38
base,Default Store View,Duane.Townsend@thelumastory.com,Duane,Townsend,Duane,Townsend,1893 Afalo Park,Absaal,555-555-5555,NH,7120,US,1,1,3,5/12/16 13:35,5/12/16 13:35
base,Default Store View,Harriett.Murray@thelumastory.com,Harriett,Murray,Harriett,Murray,92 Kere Pike,Notolic,555-555-5555,IL,91097,US,1,1,2,5/14/16 23:28,5/14/16 23:28
base,Default Store View,Christopher.Reeves@thelumastory.com,Christopher,Reeves,Christopher,Reeves,1391 Caluz Parkway,Uzehandok,555-555-5555,VT,32371,US,1,1,3,5/16/16 8:36,5/16/16 8:36
base,Default Store View,Sally.Cortez@thelumastory.com,Sally,Cortez,Sally,Cortez,784 Foehi Street,Ucilila,555-555-5555,OK,2301,US,1,1,2,5/17/16 18:36,5/17/16 18:36
base,Default Store View,Eugenia.Sparks@thelumastory.com,Eugenia,Sparks,Eugenia,Sparks,239 Bioz Boulevard,Coszotni,555-555-5555,WA,25892,US,1,1,3,5/18/16 4:49,5/18/16 4:49
base,Default Store View,Isabel.Farmer@thelumastory.com,Isabel,Farmer,Isabel,Farmer,1515 Ojovi Court,Libcezhod,555-555-5555,WV,39880,US,1,1,3,5/20/16 10:27,5/20/16 10:27
base,Default Store View,Gilbert.Benson@thelumastory.com,Gilbert,Benson,Gilbert,Benson,920 Rawa Square,Tecmeta,555-555-5555,DC,27634,US,1,1,3,5/21/16 8:25,5/21/16 8:25
base,Default Store View,Gordon.Carlson@thelumastory.com,Gordon,Carlson,Gordon,Carlson,1214 Ruzcaf Pass,Piatitih,555-555-5555,NV,46982,US,1,1,1,5/21/16 22:09,5/21/16 22:09
base,Default Store View,Elsie.Lane@thelumastory.com,Elsie,Lane,Elsie,Lane,568 Same Pike,Meusvi,555-555-5555,GA,64371,US,1,1,3,5/24/16 17:33,5/24/16 17:33
base,Default Store View,Eugene.Perez@thelumastory.com,Eugene,Perez,Eugene,Perez,1441 Ziiha Junction,Ecwopjab,555-555-5555,UT,27977,US,1,1,3,5/26/16 2:11,5/26/16 2:11
base,Default Store View,Ina.Wolfe@thelumastory.com,Ina,Wolfe,Ina,Wolfe,834 Zonvos Boulevard,Sebhuba,555-555-5555,TX,57121,US,1,1,3,5/26/16 19:30,5/26/16 19:30
base,Default Store View,Julian.Chapman@thelumastory.com,Julian,Chapman,Julian,Chapman,1119 Puge Place,Lohvemewe,555-555-5555,DC,60263,US,1,1,1,5/27/16 16:17,5/27/16 16:17
base,Default Store View,Nell.Hopkins@thelumastory.com,Nell,Hopkins,Nell,Hopkins,1308 Caeba Mill,Abawumig,555-555-5555,ID,1606,US,1,1,2,5/29/16 17:11,5/29/16 17:11
base,Default Store View,Sarah.Ballard@thelumastory.com,Sarah,Ballard,Sarah,Ballard,960 Burzew Junction,Vekovoj,555-555-5555,NJ,99754,US,1,1,3,5/29/16 21:31,5/29/16 21:31
base,Default Store View,Bobby.Chandler@thelumastory.com,Bobby,Chandler,Bobby,Chandler,458 Gapwet Path,Kokihda,555-555-5555,SD,76673,US,1,1,1,5/31/16 19:43,5/31/16 19:43
base,Default Store View,Dean.Perry@thelumastory.com,Dean,Perry,Dean,Perry,879 Fasiw Plaza,Dewsuus,555-555-5555,AL,33073,US,1,1,2,6/2/16 17:05,6/2/16 17:05
base,Default Store View,Cornelia.Ballard@thelumastory.com,Cornelia,Ballard,Cornelia,Ballard,1693 Cipdo River,Orafiru,555-555-5555,NY,14125,US,1,1,2,6/3/16 12:23,6/3/16 12:23
base,Default Store View,Harvey.Saunders@thelumastory.com,Harvey,Saunders,Harvey,Saunders,1020 Hozsi Boulevard,Usipaneb,555-555-5555,ND,63477,US,1,1,2,6/3/16 17:36,6/3/16 17:36
base,Default Store View,Lizzie.Pierce@thelumastory.com,Lizzie,Pierce,Lizzie,Pierce,884 Hivpav Lane,Faifaven,555-555-5555,OR,84720,US,1,1,3,6/3/16 19:26,6/3/16 19:26
base,Default Store View,Ora.Robinson@thelumastory.com,Ora,Robinson,Ora,Robinson,1308 Cogup Avenue,Tokoni,555-555-5555,NV,32978,US,1,1,2,6/5/16 20:13,6/5/16 20:13
base,Default Store View,Lillie.Spencer@thelumastory.com,Lillie,Spencer,Lillie,Spencer,175 Vedtuw Street,Tovibob,555-555-5555,KS,1447,US,1,1,3,6/6/16 22:52,6/6/16 22:52
base,Default Store View,Verna.Daniels@thelumastory.com,Verna,Daniels,Verna,Daniels,154 Aroag Extension,Owufouju,555-555-5555,NJ,5641,US,1,1,1,6/7/16 9:50,6/7/16 9:50
base,Default Store View,Lillian.Schmidt@thelumastory.com,Lillian,Schmidt,Lillian,Schmidt,916 Ilomaz Plaza,Razudfah,555-555-5555,IL,9259,US,1,1,3,6/8/16 22:40,6/8/16 22:40
base,Default Store View,Bernice.Ellis@thelumastory.com,Bernice,Ellis,Bernice,Ellis,1584 Rama Circle,Hoscece,555-555-5555,RI,7536,US,1,1,2,6/9/16 12:43,6/9/16 12:43
base,Default Store View,Gilbert.Underwood@thelumastory.com,Gilbert,Underwood,Gilbert,Underwood,666 Boet Loop,Alvuni,555-555-5555,CO,23619,US,1,1,3,6/9/16 19:27,6/9/16 19:27
base,Default Store View,Gary.Griffin@thelumastory.com,Gary,Griffin,Gary,Griffin,1581 Fivaj Park,Monigaj,555-555-5555,MI,46444,US,1,1,2,6/10/16 6:25,6/10/16 6:25
base,Default Store View,Bessie.Anderson@thelumastory.com,Bessie,Anderson,Bessie,Anderson,900 Rebah Highway,Denije,555-555-5555,ME,9165,US,1,1,2,6/11/16 19:29,6/11/16 19:29
base,Default Store View,Cody.Franklin@thelumastory.com,Cody,Franklin,Cody,Franklin,140 Howil Place,Soncetu,555-555-5555,CO,56945,US,1,1,1,6/12/16 14:07,6/12/16 14:07
base,Default Store View,Verna.Townsend@thelumastory.com,Verna,Townsend,Verna,Townsend,858 Puva Junction,Baazica,555-555-5555,KY,95071,US,1,1,2,6/13/16 12:53,6/13/16 12:53
base,Default Store View,Jordan.Ray@thelumastory.com,Jordan,Ray,Jordan,Ray,902 Hajtig Plaza,Eburonhe,555-555-5555,FL,34105,US,1,1,1,6/14/16 23:16,6/14/16 23:16
base,Default Store View,Philip.Rios@thelumastory.com,Philip,Rios,Philip,Rios,725 Benjoc Place,Ojufenwe,555-555-5555,MT,87771,US,1,1,3,6/15/16 4:44,6/15/16 4:44
base,Default Store View,Lottie.Alvarez@thelumastory.com,Lottie,Alvarez,Lottie,Alvarez,1063 Balun Junction,Haanelu,555-555-5555,AL,58342,US,1,1,3,6/16/16 2:28,6/16/16 2:28
base,Default Store View,Tillie.Quinn@thelumastory.com,Tillie,Quinn,Tillie,Quinn,1694 Niwdig Place,Ladkadpa,555-555-5555,GA,28002,US,1,1,3,6/16/16 15:23,6/16/16 15:23
base,Default Store View,Andrew.Olson@thelumastory.com,Andrew,Olson,Andrew,Olson,933 Ubfa Heights,Esicenol,555-555-5555,MO,53306,US,1,1,3,6/18/16 5:28,6/18/16 5:28
base,Default Store View,Georgia.King@thelumastory.com,Georgia,King,Georgia,King,317 Lidor Pass,Tupesmi,555-555-5555,LA,70940,US,1,1,2,6/18/16 13:03,6/18/16 13:03
base,Default Store View,Francis.Patton@thelumastory.com,Francis,Patton,Francis,Patton,191 Poce Pass,Jepuzle,555-555-5555,MN,95622,US,1,1,1,6/21/16 1:16,6/21/16 1:16
base,Default Store View,Tyler.Morton@thelumastory.com,Tyler,Morton,Tyler,Morton,1268 Uzene Court,Iklijre,555-555-5555,MT,84656,US,1,1,3,6/23/16 2:24,6/23/16 2:24
base,Default Store View,Tony.Potter@thelumastory.com,Tony,Potter,Tony,Potter,1898 Fagun Mill,Tuakac,555-555-5555,SC,19461,US,1,1,1,6/23/16 9:08,6/23/16 9:08
base,Default Store View,Celia.Luna@thelumastory.com,Celia,Luna,Celia,Luna,1451 Lipot Street,Robedo,555-555-5555,TN,70902,US,1,1,2,6/23/16 13:03,6/23/16 13:03
base,Default Store View,Dollie.Hicks@thelumastory.com,Dollie,Hicks,Dollie,Hicks,1191 Muko Plaza,Ponpelwe,555-555-5555,VT,83742,US,1,1,3,6/24/16 6:05,6/24/16 6:05
base,Default Store View,Ricardo.Brock@thelumastory.com,Ricardo,Brock,Ricardo,Brock,366 Gipif Grove,Zajaje,555-555-5555,NV,69154,US,1,1,3,6/25/16 22:40,6/25/16 22:40
base,Default Store View,Ricardo.Ross@thelumastory.com,Ricardo,Ross,Ricardo,Ross,125 Orawo Grove,Sotagmen,555-555-5555,OK,45602,US,1,1,1,6/26/16 10:52,6/26/16 10:52
